data,ativo,tone,volume
2022-04-24,BTC,-0.5362,0.0732
2022-04-25,BTC,-0.219,0.1229
2022-04-26,BTC,0.1521,0.1718
2022-04-27,BTC,-0.5631,0.1591
2022-04-28,BTC,-0.627,0.1424
2022-04-29,BTC,0.1398,0.1018
2022-04-30,BTC,-0.1358,0.1026
2022-05-01,BTC,-1.3017,0.1312
2022-05-02,BTC,0.1721,0.2025
2022-05-03,BTC,0.0644,0.1236
2022-05-04,BTC,0.0174,0.1363
2022-05-05,BTC,-0.4393,0.1425
2022-05-06,BTC,-0.8725,0.1339
2022-05-07,BTC,-0.672,0.0804
2022-05-08,BTC,-0.5646,0.0976
2022-05-09,BTC,-2.0282,0.2951
2022-05-10,BTC,-2.3739,0.2538
2022-05-11,BTC,-1.3105,0.159
2022-05-12,BTC,-1.6319,0.2683
2022-05-13,BTC,-1.7193,0.242
2022-05-14,BTC,-1.3281,0.1652
2022-05-15,BTC,-1.2523,0.0866
2022-05-16,BTC,-0.8732,0.1446
2022-05-17,BTC,-0.9349,0.1435
2022-05-18,BTC,-0.1043,0.1504
2022-05-19,BTC,-0.7652,0.1271
2022-05-20,BTC,-0.3255,0.1105
2022-05-21,BTC,-0.6756,0.0812
2022-05-22,BTC,-0.1947,0.0707
2022-05-23,BTC,-0.1003,0.1064
2022-05-24,BTC,-0.3352,0.1
2022-05-25,BTC,-0.4259,0.1099
2022-05-26,BTC,-0.206,0.1066
2022-05-27,BTC,-0.1813,0.0837
2022-05-28,BTC,-0.4073,0.0676
2022-05-29,BTC,-0.1625,0.0547
2022-05-30,BTC,-0.2788,0.0915
2022-05-31,BTC,-0.1257,0.1065
2022-06-01,BTC,-0.6464,0.091
2022-06-02,BTC,-0.4081,0.0891
2022-06-03,BTC,-1.1852,0.1698
2022-06-04,BTC,-1.4859,0.0685
2022-06-05,BTC,-1.1454,0.0803
2022-06-06,BTC,-0.6012,0.0987
2022-06-07,BTC,-0.2962,0.1659
2022-06-08,BTC,-0.1829,0.1196
2022-06-09,BTC,0.1951,0.1131
2022-06-10,BTC,-0.1873,0.0962
2022-06-11,BTC,-0.4776,0.0529
2022-06-12,BTC,-0.8242,0.0599
2022-06-13,BTC,-2.7336,0.4374
2022-06-14,BTC,-2.4412,0.3861
2022-06-15,BTC,-2.7545,0.3655
2022-06-16,BTC,-1.9263,0.2472
2022-06-17,BTC,-1.4776,0.1939
2022-06-18,BTC,-2.8719,0.2362
2022-06-19,BTC,-2.5213,0.257
2022-06-20,BTC,-2.1944,0.1832
2022-06-21,BTC,-1.5472,0.199
2022-06-22,BTC,-0.8218,0.1278
2022-06-23,BTC,-1.1099,0.112
2022-06-24,BTC,-0.9315,0.0906
2022-06-25,BTC,-1.3877,0.0883
2022-06-26,BTC,-0.9042,0.0611
2022-06-27,BTC,-1.0925,0.1014
2022-06-28,BTC,0.335,0.1216
2022-06-29,BTC,-1.5772,0.1467
2022-06-30,BTC,-1.8252,0.1997
2022-07-01,BTC,-1.935,0.1706
2022-07-02,BTC,-1.625,0.0805
2022-07-03,BTC,-1.7204,0.0701
2022-07-04,BTC,-1.5322,0.0983
2022-07-05,BTC,-1.9369,0.1467
2022-07-06,BTC,-1.9108,0.1297
2022-07-07,BTC,-0.5923,0.1235
2022-07-08,BTC,-1.1924,0.096
2022-07-09,BTC,-0.9999,0.0566
2022-07-10,BTC,-1.8163,0.134
2022-07-11,BTC,-1.6806,0.1165
2022-07-12,BTC,-1.3598,0.1185
2022-07-13,BTC,-0.9759,0.0897
2022-07-14,BTC,-1.5273,0.1141
2022-07-15,BTC,-0.7715,0.0974
2022-07-16,BTC,-0.6061,0.0538
2022-07-17,BTC,-1.0589,0.0635
2022-07-18,BTC,-1.3173,0.1074
2022-07-19,BTC,-0.7669,0.1119
2022-07-20,BTC,-0.6053,0.1178
